"Prctr","Konto","Bezeichnung","Zeile Ergebnisplan","Bezeichnung","in PrCtrHW","PrCtrHW","Text","Auftrag","Jahr","GsBe","Ver","opChar","operationCharacter","Amt","Produktbereich"
"110000124","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-764.63","EUR","","1001299","2022","1099","8","4","revenue","1000","0124"
"110000124","571100","Abschr.a.im.Verm.geg","K11-140","14/57 Bilanzielle Abschreibungen","764.63","EUR","","1001299","2022","1099","8","5","expenditure","1000","0124"
"110000124","571100","Abschr.a.im.Verm.geg","K11-140","14/57 Bilanzielle Abschreibungen","6514.03","EUR","","1002130","2022","1099","8","5","expenditure","1000","0124"
"110000124","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-18680.28","EUR","","1002175","2022","1099","8","4","revenue","1000","0124"
"110000124","571100","Abschr.a.im.Verm.geg","K11-140","14/57 Bilanzielle Abschreibungen","42509.09","EUR","","1002175","2022","1099","8","5","expenditure","1000","0124"
"110000124","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-147.11","EUR","","1003250","2022","1099","8","4","revenue","1000","0124"
"110000124","571100","Abschr.a.im.Verm.geg","K11-140","14/57 Bilanzielle Abschreibungen","147.11","EUR","","1003250","2022","1099","8","5","expenditure","1000","0124"
"110000124","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-72.89","EUR","","1003260","2022","1099","8","4","revenue","1000","0124"
"110000124","571100","Abschr.a.im.Verm.geg","K11-140","14/57 Bilanzielle Abschreibungen","72.89","EUR","","1003260","2022","1099","8","5","expenditure","1000","0124"
"110000124","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-297.44","EUR","","1004190","2022","1099","8","4","revenue","1000","0124"
"110000124","571100","Abschr.a.im.Verm.geg","K11-140","14/57 Bilanzielle Abschreibungen","297.44","EUR","","1004190","2022","1099","8","5","expenditure","1000","0124"
"110000124","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-1593.18","EUR","","1006220","2022","1099","8","4","revenue","1000","0124"
"110000124","571100","Abschr.a.im.Verm.geg","K11-140","14/57 Bilanzielle Abschreibungen","27996.65","EUR","","1006220","2022","1099","8","5","expenditure","1000","0124"
"110000124","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-111.56","EUR","","1006221","2022","1099","8","4","revenue","1000","0124"
"110000124","571100","Abschr.a.im.Verm.geg","K11-140","14/57 Bilanzielle Abschreibungen","111.56","EUR","","1006221","2022","1099","8","5","expenditure","1000","0124"
"110000124","571100","Abschr.a.im.Verm.geg","K11-140","14/57 Bilanzielle Abschreibungen","7565.22","EUR","","1006435","2022","1099","8","5","expenditure","1000","0124"
"110200126","571100","Abschr.a.im.Verm.geg","K11-140","14/57 Bilanzielle Abschreibungen","763.98","EUR","","1021270","2022","1020","8","5","expenditure","1020","0126"
"110200126","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-62.47","EUR","","1022140","2022","1020","8","4","revenue","1020","0126"
"110200126","571100","Abschr.a.im.Verm.geg","K11-140","14/57 Bilanzielle Abschreibungen","62.47","EUR","","1022140","2022","1020","8","5","expenditure","1020","0126"
"110200126","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-804.49","EUR","","1023212","2022","1020","8","4","revenue","1020","0126"
"110200126","571100","Abschr.a.im.Verm.geg","K11-140","14/57 Bilanzielle Abschreibungen","804.49","EUR","","1023212","2022","1020","8","5","expenditure","1020","0126"
"110200126","571100","Abschr.a.im.Verm.geg","K11-140","14/57 Bilanzielle Abschreibungen","9443.48","EUR","","1023250","2022","1020","8","5","expenditure","1020","0126"
"110200126","571100","Abschr.a.im.Verm.geg","K11-140","14/57 Bilanzielle Abschreibungen","1086.71","EUR","","1023280","2022","1020","8","5","expenditure","1020","0126"
