"Prctr","Konto","Bezeichnung","Zeile Ergebnisplan","Bezeichnung","in PrCtrHW","PrCtrHW","Text","PSP-Element","Jahr","GsBe","Ver","opChar","operationCharacter","Amt","Produktbereich"
"113000114","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-2653.78","EUR","","1.13.00.01.14.01","2022","1399","8","4","revenue","1300","0114"
"113000114","571140","AfA Betr.Geschausst.","K11-140","14/57 Bilanzielle Abschreibungen","3000.00","EUR","","1.13.00.01.14.01","2022","1399","8","5","expenditure","1300","0114"
"113000114","416110","Aufl.SoPo a.Zuw.Land","K11-020","02/41 Zuwendungen und allgemeine Umlagen","-2375.88","EUR","","1.13.00.01.14.02","2022","1399","8","4","revenue","1300","0114"
"103001502","571140","AfA Betr.Geschausst.","K11-140","14/57 Bilanzielle Abschreibungen","8143.25","EUR","","1.03.00.15.02.02","2022","399","8","5","expenditure","0300","1502"
"103001502","531700","Aufw. Zusch. priv.U.","K11-150","15/53 Transferaufwendungen","258081.35","EUR","","1.03.00.15.02.02","2022","399","8","5","expenditure","0300","1502"
"103001502","458900","So.ni.zahlw.ord.Ertr","K11-070","07/45 Sonstige ordentliche Erträge","-143040.67","EUR","","1.03.00.15.02.02","2022","399","8","4","revenue","0300","1502"
"113000114","571100","Abschr.a.im.Verm.geg","K11-140","14/57 Bilanzielle Abschreibungen","2375.88","EUR","","1.13.00.01.14.02","2022","1399","8","5","expenditure","1300","0114"
"130000127","448800","Erstatt. von übr. B.","K11-060","06/41 Kostenerstattungen/-umlagen","-10000.00","EUR","","1.30.00.01.27.01","2022","3099","8","4","revenue","3000","0127"
"130000127","529100","Aufw. f. so. Dienstl","K11-130","13/52 Aufwendungen für Sach-/Dienstleistungen","173626.73","EUR","","1.30.00.01.27.01","2022","3099","8","5","expenditure","3000","0127"
"130000127","541130","Reisekosten","K11-160","16/54 Sonstige ordentliche Aufwendungen","286.96","EUR","","1.30.00.01.27.01","2022","3099","8","5","expenditure","3000","0127"
